quantity,start_date,end_date,prison_place,prison_place_lat,prison_place_lng,prison_place_link,labelConvoyDeparturePlace
1,10/13/1943,4/10/1944,Ascoli Piceno,42.84191317,13.64473125,http://dati.cdec.it/lod/shoah/prison/ASCOLI_PICENO,ASCOLI PICENO
3,10/15/1943,4/12/1944,Baveno,45.92394444,8.549839909,http://dati.cdec.it/lod/shoah/prison/BAVENO,BAVENO
1,3/1/1944,8/28/1944,Bormio,46.46681872,10.37213603,http://dati.cdec.it/lod/shoah/prison/BORMIO,FOSSOLI campo
1,10/14/1943,4/11/1944,Campo di Bolzano,46.48647835,11.31793055,http://dati.cdec.it/lod/shoah/prison/BOLZANO_campo,Campo di Bolzano
1,12/4/1944,4/25/1945,Campo di Caprino,45.74554377,9.483645267,http://dati.cdec.it/lod/shoah/prison/CAPRINO_campo,FOSSOLI campo
2,2/2/1944,11/7/1944,Campo di Fossoli,44.82881388,10.90204478,http://dati.cdec.it/lod/shoah/prison/FOSSOLI_campo,FOSSOLI campo
1,11/8/1944,4/25/1945,Campo di Fossoli,44.82881388,10.90204478,http://dati.cdec.it/lod/shoah/prison/FOSSOLI_campo,FOSSOLI campo
1,3/1/1944,8/28/1944,Campo di Reggio Emilia,44.35480304,10.32049697,http://dati.cdec.it/lod/shoah/prison/REGGIO_EMILIA_campo,FOSSOLI campo
1,1/6/1944,2/19/1944,Campo di Risiera San Sabba,45.62099312,13.78923921,http://dati.cdec.it/lod/shoah/prison/S.SABBA_campo,TRIESTE  Risiera San Sabba campo
1,2/20/1944,8/18/1944,Campo di Risiera San Sabba,45.62099312,13.78923921,http://dati.cdec.it/lod/shoah/prison/S.SABBA_campo,TRIESTE  Risiera San Sabba campo
3,12/30/1943,6/27/1944,Campo di Servigliano,43.07790372,13.4897203,http://dati.cdec.it/lod/shoah/prison/SERVIGLIANO_campo,FOSSOLI campo
1,3/15/1944,9/11/1944,Campo di Vallecrosia,43.7863292,7.64258916,http://dati.cdec.it/lod/shoah/prison/VALLECROSIA_campo,FOSSOLI campo
1,1/1/1944,1/2/1944,Carcere di Bergamo,45.69541014,9.706391056,http://dati.cdec.it/lod/shoah/prison/BERGAMO_carcere,FOSSOLI campo
2,1/3/1944,3/28/1944,Carcere di Bergamo,45.69541014,9.706391056,http://dati.cdec.it/lod/shoah/prison/BERGAMO_carcere,FOSSOLI campo
1,3/29/1944,6/29/1944,Carcere di Bergamo,45.69541014,9.706391056,http://dati.cdec.it/lod/shoah/prison/BERGAMO_carcere,FOSSOLI campo
1,6/30/1944,12/27/1944,Carcere di Bergamo,45.69541014,9.706391056,http://dati.cdec.it/lod/shoah/prison/BERGAMO_carcere,BOLZANO campo
